word,part_of_speech,translation,example,source_date,source_file
"hacer","verb","to make, to do","","2025-09-30","vocabulary/vocabulary-2025-09-30-12-12.md"
"tener","verb","to have","","2025-09-30","vocabulary/vocabulary-2025-09-30-12-12.md"
"el gimnasio","noun","gym","","2025-09-30","vocabulary/vocabulary-2025-09-30-12-12.md"
"la casa","noun","home/house","","2025-09-30","vocabulary/vocabulary-2025-09-30-12-12.md"
"el trabajo","noun","work (place)","","2025-09-30","vocabulary/vocabulary-2025-09-30-12-12.md"
"el parque","noun","park","","2025-09-30","vocabulary/vocabulary-2025-09-30-12-12.md"
"el centro","noun","downtown/center","","2025-09-30","vocabulary/vocabulary-2025-09-30-12-12.md"
"el supermercado","noun","supermarket","","2025-09-30","vocabulary/vocabulary-2025-09-30-12-12.md"
"hacer ejercicio","expr","to exercise","","2025-09-30","vocabulary/vocabulary-2025-09-30-12-12.md"
"hacer la compra","expr","to do the shopping/groceries","","2025-09-30","vocabulary/vocabulary-2025-09-30-12-12.md"
"hacer la cena","expr","to make dinner","","2025-09-30","vocabulary/vocabulary-2025-09-30-12-12.md"
"tener hambre","expr","to be hungry","","2025-09-30","vocabulary/vocabulary-2025-09-30-12-12.md"
"tener sed","expr","to be thirsty","","2025-09-30","vocabulary/vocabulary-2025-09-30-12-12.md"
"tener sueño","expr","to be sleepy","","2025-09-30","vocabulary/vocabulary-2025-09-30-12-12.md"
"tener prisa","expr","to be in a hurry","","2025-09-30","vocabulary/vocabulary-2025-09-30-12-12.md"
"tener razón","expr","to be right","","2025-09-30","vocabulary/vocabulary-2025-09-30-12-12.md"
"tener suerte","expr","to be lucky","","2025-09-30","vocabulary/vocabulary-2025-09-30-12-12.md"
"tener X años","expr","to be X years old","","2025-09-30","vocabulary/vocabulary-2025-09-30-12-12.md"
"tener que + inf.","expr","to have to (must)","","2025-09-30","vocabulary/vocabulary-2025-09-30-12-12.md"
"tener ganas de + inf.","expr","to feel like (doing)","","2025-09-30","vocabulary/vocabulary-2025-09-30-12-12.md"
"¿Adónde…?","expr","Where (to)…?","","2025-09-30","vocabulary/vocabulary-2025-09-30-12-12.md"
"¿Qué…?","expr","What…?","","2025-09-30","vocabulary/vocabulary-2025-09-30-12-12.md"
"¿Tienes tiempo?","expr","Do you have time?","","2025-09-30","vocabulary/vocabulary-2025-09-30-12-12.md"
"esta noche","expr","tonight","","2025-09-30","vocabulary/vocabulary-2025-09-30-12-12.md"
"por la mañana","expr","in the morning","","2025-09-30","vocabulary/vocabulary-2025-09-30-12-12.md"
"los fines de semana","noun","on weekends","","2025-09-30","vocabulary/vocabulary-2025-09-30-12-12.md"
"luego","expr","later","","2025-09-30","vocabulary/vocabulary-2025-09-30-12-12.md"
"temprano","expr","early","","2025-09-30","vocabulary/vocabulary-2025-09-30-12-12.md"
"ahora","expr","now","","2025-09-30","vocabulary/vocabulary-2025-09-30-12-12.md"
"más tarde","expr","later","","2025-09-30","vocabulary/vocabulary-2025-09-30-12-12.md"
"¡Qué bien!","expr","Nice!/Great!","","2025-09-30","vocabulary/vocabulary-2025-09-30-12-12.md"
"""al"" = a + el (contracción). Ej.","expr","voy al parque.","","2025-09-30","vocabulary/vocabulary-2025-09-30-12-12.md"
"""del"" = de + el. Ej.","expr","cerca del centro.","","2025-09-30","vocabulary/vocabulary-2025-09-30-12-12.md"
"ir a + inf.","expr","futuro próximo. Ej.: Voy a estudiar.","","2025-09-30","vocabulary/vocabulary-2025-09-30-12-12.md"
"tener que + inf.","expr","obligación. Ej.: Tienen que trabajar.","","2025-09-30","vocabulary/vocabulary-2025-09-30-12-12.md"
"tener ganas de + inf.","expr","deseo. Ej.: Tenemos ganas de viajar.","","2025-09-30","vocabulary/vocabulary-2025-09-30-12-12.md"
